genres,,title,,release_date,tags,discount_price,reviews_url,specs,price,early_access,id,developer,sentiment,metascore
"['Racing', 'Simulation', 'Sports']",,RC Plane 3 - F-53B,,23-12-17,"['Simulation', 'Racing', 'Sports']",,http://steamcommunity.com/app/775881/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support', 'Steam Leaderboards']",2.99,FALSE,775881,FrozenPepper,,
"['Action', 'Indie']",,DinoBlaster,,03-01-18,"['Indie', 'Action']",,http://steamcommunity.com/app/653960/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support']",4.99,FALSE,653960,Casey Labrack,,
,,Robotpencil Presents: Understanding 3D for Concept,,03-01-18,"['Design & Illustration', 'Tutorial']",,http://steamcommunity.com/app/777910/reviews/?browsefilter=mostrecent&p=1,,4.99,FALSE,777910,,,
"['Action', 'Indie', 'Racing']",,Carmageddon Max Pack,,30-06-97,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",,http://steamcommunity.com/app/282010/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,FALSE,282010,Stainless Games Ltd,Very Positive,
['Action'],,Half-Life,,08-11-98,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",,http://steamcommunity.com/app/70/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,FALSE,70,Valve,Overwhelmingly Positive,96
"['Action', 'Indie', 'RPG']",,Fallen Mage,,25-11-16,"['Action', 'RPG', 'Indie']",,http://steamcommunity.com/app/752360/reviews/?browsefilter=mostrecent&p=1,['Single-player'],1.99,FALSE,752360,dev4play,,
,,,,,"['Action', 'Indie', 'VR']",,http://steamcommunity.com/app/594200/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Leaderboards', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Room-Scale']",3.99,FALSE,594200,,8 user reviews,
"['Casual', 'Indie', 'Strategy']",,Lost Cities,,01-01-18,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']",,http://steamcommunity.com/app/520680/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards', 'Steam Turn Notifications']",,FALSE,520680,BlueLine Games,,
['Action'],,Twisted Enhanced Edition,,01-01-18,"['Action', 'Platformer', 'Side Scroller']",,http://steamcommunity.com/app/690410/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Full controller support']",,FALSE,690410,Games by Brundle,,
"['Casual', 'Indie', 'Simulation']",,Vaporwave Simulator,,01-01-18,"['Casual', 'Indie', 'Simulation']",0.84,http://steamcommunity.com/app/766850/reviews/?browsefilter=mostrecent&p=1,['Single-player'],0.99,FALSE,766850,ETGgames,Mostly Positive,
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",,Tactics Forever,,01-01-18,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']",,http://steamcommunity.com/app/413120/reviews/?browsefilter=mostrecent&p=1,"['Online Multi-Player', 'MMO', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Turn Notifications']",,FALSE,413120,ProjectorGames,,
"['Adventure', 'Casual', 'Indie']",,Christmas Santa Troubles,,30-12-17,"['Adventure', 'Indie', 'Casual']",,http://steamcommunity.com/app/773120/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements']",,FALSE,773120,Unknown Indie Devs,,
,,,,,"['Action', 'Free to Play', 'Strategy']",,http://steamcommunity.com/app/680970/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Online Multi-Player', 'HTC Vive', 'Tracked Motion Controllers', 'Standing', 'Room-Scale']",,FALSE,680970,,,
"['Action', 'Adventure', 'RPG']",,Underdone - Soundtrack,,01-01-18,"['Action', 'Adventure', 'RPG']",7.19,http://steamcommunity.com/app/754360/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",8.99,FALSE,754360,The Commander,,
"['Adventure', 'Casual', 'Indie', 'RPG']",,Bitcoin Clicker,,01-01-18,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",,http://steamcommunity.com/app/716110/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",0.99,FALSE,716110,"lalalaZero,Urbanoff",Mixed,
['Strategy'],,Disciples II: Gallean's Return,,06-07-06,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",,http://steamcommunity.com/app/1640/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op']",6.99,FALSE,1640,Strategy First,Mostly Positive,84
['Strategy'],,Disciples II: Rise of the Elves,,06-07-06,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",,http://steamcommunity.com/app/1630/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op']",6.99,FALSE,1630,Strategy First,Very Positive,80
"['Action', 'Indie', 'RPG']",,The Ship: Murder Party,,11-07-06,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",,http://steamcommunity.com/app/2400/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,FALSE,2400,Outerlight Ltd.,Very Positive,76
['Strategy'],,United Tactics,,,"['Strategy', 'Co-op', 'Turn-Based', 'Tactical', 'War', 'Multiplayer', 'Turn-Based Strategy']",,http://steamcommunity.com/app/662570/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op']",,FALSE,662570,Zachary M Thomas,,
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",,Life of Rome,,2017,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']",,http://steamcommunity.com/app/381620/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'MMO', 'Steam Trading Cards', 'Partial Controller Support']",,TRUE,381620,Breakout Studio,,
"['Adventure', 'Free to Play', 'RPG', 'Early Access']",,Idle Adventure,,Beta测试已开启,"['Early Access', 'Free to Play', 'Adventure', 'RPG']",,http://steamcommunity.com/app/714020/reviews/?browsefilter=mostrecent&p=1,"['MMO', 'Steam Achievements']",,TRUE,714020,"zha7,Phaedruns,Yingke Wu",,
,,,,,"['Early Access', 'Indie', 'Action', 'VR']",,http://steamcommunity.com/app/541930/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Local Multi-Player', 'Partial Controller Support', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Room-Scale']",,TRUE,541930,,,
"['Action', 'Indie', 'Strategy', 'Early Access']",,Souland,,29-12-17,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",6.79,http://steamcommunity.com/app/759920/reviews/?browsefilter=mostrecent&p=1,['Single-player'],7.99,TRUE,759920,Ultraint,,
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",,Darkness and a Crowd,,30-03-18,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']",,http://steamcommunity.com/app/659780/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",,FALSE,659780,Seth Albertus,,
"['Action', 'Adventure', 'Indie', 'RPG']",,TAROTICA VOO DOO,,29-12-17,"['Indie', 'Action', 'Adventure', 'RPG']",9.89,http://steamcommunity.com/app/603280/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",10.99,FALSE,603280,TPM.CO SOFT WORKS,6 user reviews,
"['Casual', 'Strategy', 'Early Access']",,Chronicles of Vinland,,29-12-17,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",5.99,http://steamcommunity.com/app/753110/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements']",9.99,TRUE,753110,Wonderbox Games,Mixed,
"['Action', 'Indie']",,Orbitality,,29-12-17,"['Indie', 'Action']",5.99,http://steamcommunity.com/app/753100/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements']",9.99,FALSE,753100,Wonderbox Games,1 user reviews,
,,,,,['Education'],,http://steamcommunity.com/app/769350/reviews/?browsefilter=mostrecent&p=1,"['Tracked Motion Controllers', 'Seated', 'Standing']",29.99,FALSE,769350,,,
"['Action', 'Adventure', 'Casual']",,Atomic Adam: Episode 1,,30-12-17,"['Action', 'Adventure', 'Casual']",,http://steamcommunity.com/app/764280/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",1.99,FALSE,764280,Mad Unicorn Games,5 user reviews,
,,,,,"['Simulation', 'Sports', 'Casual', 'Indie', 'Golf', 'VR']",,http://steamcommunity.com/app/374970/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards', 'Commentary available', 'HTC Vive', 'Tracked Motion Controllers', 'Standing', 'Room-Scale']",,FALSE,374970,,,
"['Adventure', 'Casual', 'Free to Play', 'Indie']",,Mirt. Tales of the Cold Land. Chapter 2,,29-12-17,"['Adventure', 'Indie', 'Casual', 'Free to Play']",,http://steamcommunity.com/app/758550/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content']",0.99,FALSE,758550,Emanon Studios,2 user reviews,
['Action'],,Advent Rising,,09-08-05,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",,http://steamcommunity.com/app/3800/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Trading Cards']",9.99,FALSE,3800,GlyphX Games,Mostly Positive,70
"['Indie', 'Strategy']",,DEFCON,,29-09-06,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",,http://steamcommunity.com/app/1520/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,FALSE,1520,Introversion Software,Very Positive,84
"['Action', 'Indie', 'RPG']",,The Ship: Single Player,,20-11-06,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",,http://steamcommunity.com/app/2420/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,FALSE,2420,Outerlight Ltd.,Mixed,NA
"['Indie', 'Simulation']",,Garry's Mod,,29-11-06,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",,http://steamcommunity.com/app/4000/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']",9.99,FALSE,4000,Facepunch Studios,Overwhelmingly Positive,NA
['Racing'],,RACE - The WTCC Game,,24-11-06,"['Racing', 'Simulation']",,http://steamcommunity.com/app/4230/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",39.99,FALSE,4230,SimBin,Mostly Positive,NA
"['Casual', 'Indie']",,Zen of Sudoku,,14-12-06,"['Casual', 'Indie', 'Puzzle']",,http://steamcommunity.com/app/4900/reviews/?browsefilter=mostrecent&p=1,['Single-player'],Free,FALSE,4900,Unknown Worlds Entertainment,Very Positive,NA
"['Casual', 'Indie']",,Gumboy - Crazy Adventures™,,19-12-06,"['Casual', 'Indie', 'Singleplayer']",,http://steamcommunity.com/app/2520/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,FALSE,2520,"CINEMAX, s.r.o.",Mixed,69
['Strategy'],,Ghost Master®,,23-08-03,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",,http://steamcommunity.com/app/6200/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,FALSE,6200,Sick Puppies,Very Positive,81
['Strategy'],,Vegas: Make It Big™,,21-12-06,"['Strategy', 'Simulation', 'Management']",,http://steamcommunity.com/app/6210/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,FALSE,6210,Deepred,Mostly Positive,NA
"['Adventure', 'RPG']",,Dreamfall: The Longest Journey,,17-04-06,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",,http://steamcommunity.com/app/6300/reviews/?browsefilter=mostrecent&p=1,['Single-player'],19.99,FALSE,6300,Funcom,Very Positive,75
['Racing'],,FlatOut 2™,,01-08-06,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",,http://steamcommunity.com/app/2990/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,FALSE,2990,Bugbear Entertainment,Very Positive,76
['Racing'],,FlatOut,,12-07-05,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",,http://steamcommunity.com/app/6220/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",7.49,FALSE,6220,Bugbear Entertainment,Very Positive,72
"['Action', 'Adventure']",,Lost Planet™: Extreme Condition,,26-06-07,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",,http://steamcommunity.com/app/6510/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,FALSE,6510,"CAPCOM Co., Ltd.",Mostly Positive,66
['Strategy'],,CivCity: Rome,,24-07-06,"['Strategy', 'City Builder', 'Simulation', 'Rome']",,http://steamcommunity.com/app/3980/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,FALSE,3980,"FireFly Studios,Firaxis Games",Mostly Positive,67
['RPG'],,Arx Fatalis,,12-11-02,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",,http://steamcommunity.com/app/1700/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,FALSE,1700,Arkane Studios,Very Positive,77
"['Action', 'Adventure', 'RPG']",,The Longest Journey,,17-11-00,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",,http://steamcommunity.com/app/6310/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,FALSE,6310,Funcom,Very Positive,91
['Strategy'],,Civilization IV®: Warlords,,24-07-06,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",,http://steamcommunity.com/app/3990/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,FALSE,3990,Firaxis Games,Very Positive,84
['Strategy'],,Railroad Tycoon 3,,23-10-03,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",,http://steamcommunity.com/app/7610/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,FALSE,7610,PopTop,Mostly Positive,80
['Strategy'],,Sid Meier's Railroads!,,16-10-06,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",,http://steamcommunity.com/app/7600/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,FALSE,7600,"Firaxis Games,Feral Interactive (Mac)",Mixed,77
,,,,,,14.99,,,19.99,FALSE,,,,
['Strategy'],,Railroad Tycoon II Platinum,,31-10-98,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",,http://steamcommunity.com/app/7620/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,FALSE,7620,PopTop,Very Positive,89
"['Casual', 'Indie']",,RIP - Trilogy™,,01-06-07,"['Indie', 'Casual', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']",,http://steamcommunity.com/app/2540/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op']",4.99,FALSE,2540,Elephant Games,Mixed,NA
